Clasificador,Dummy,0.5316455696202531,0.6075949367088608
Clasificador,Lineal,0.9556962025316456,0.9240506329113924
Clasificador,Random Forest,0.9588607594936709,0.9113924050632911
Clasificador,AdaBoost,0.9208860759493671,0.9113924050632911
Clasificador,SVM,0.9335443037974683,0.9113924050632911
Clasificador,Dummy,0.7379576107899807,0.6923076923076923
Clasificador,Lineal,0.9556840077071291,0.9
Clasificador,Random Forest,0.9460500963391136,0.9076923076923077
Clasificador,AdaBoost,0.9710982658959537,0.9
Clasificador,SVM,0.9576107899807321,0.8846153846153846
Regresor,Dummy,4.769851374442746,3.698326076308586
Regresor,Lineal,1.846521174391512,1.7429173360798038
Regresor,RandomForest,1.1911954412509693,1.3851778630257785
Regresor,AdaBoost,1.421639974463594,1.5522151475465944
Regresor,SVM,2.0685843763525718,1.8147122083952922
Regresor,Dummy,3.1091830684618755,3.6648927980189425
Regresor,Lineal,1.2164400000290168,1.3428127363947608
Regresor,RandomForest,0.45611605484934364,1.5006993036581313
Regresor,AdaBoost,0.9365407574797585,1.5944223858087365
Regresor,SVM,1.1086721297049589,1.5114703606768702
